"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2025 12:32:34 a.m. PDT","24554906781","Order","702-9660298-5672259","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","1","amazon.ca","Amazon","Langley","British Columbia","V3A 1B","Combined TCS+MTC","37.99","4.56","6.99","0","0","0","0","0","-6.99","0","-4.56","-5.70","-7.74","0","0","24.55"
"Oct 1, 2025 2:11:08 a.m. PDT","24554906781","Order","702-9921257-7581006","KF01-BBJ","Dream Reach Viking Cleaver Knife Butcher Meat Cutting Boning Knife High Carbon Steel Kitchen Axe with Sheath Home Outdoor BBQ Camping Birthday Christm","1","amazon.ca","Amazon","108 Mile Ranch","British Columbia","V0K 2Z","Combined TCS+MTC","59.99","4.32","5.90","0","0","0","0","0","-29.90","0","-4.32","-5.40","-7.74","0","0","22.85"
"Oct 1, 2025 2:27:58 a.m. PDT","24554906781","Order","701-3291771-2751402","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","2","amazon.ca","Amazon","Winnipeg","Manitoba","R3X 0N","Combined TCS+MTC","75.98","9.12","0","0","0","0","0","0","0","0","-9.12","-11.40","-14.46","0","0","50.12"
"Oct 1, 2025 3:23:46 a.m. PDT","24554906781","Order","702-6161335-2853816","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","1","amazon.ca","Amazon","Victoria","British Columbia","V8Z 5K","Combined TCS+MTC","37.99","4.56","0","0","0","0","0","0","0","0","-4.56","-5.70","-7.74","0","0","24.55"
"Oct 1, 2025 5:48:18 a.m. PDT","24554906781","Order","702-9648719-2676221","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","1","amazon.ca","Amazon","Kirkland","Quebec","H9H 3K","Combined TCS+MTC","37.99","5.69","0","0","0","0","0","0","0","0","-5.69","-5.70","-7.23","0","0","25.06"
"Oct 1, 2025 6:12:27 a.m. PDT","24554906781","Order","702-1743046-3649049","HS1901","Dream Reach 6"" Professional Hair Cutting Scissors Japan 440C Steel Thinning Scissor for Men/Women Cutting for Salon/Barber/Home (Straight Scissors)","1","amazon.ca","Amazon","Calgary","Alberta","T2A 1Y","Combined TCS+MTC","43.99","2.20","6.99","0","0","0","0","0","-6.99","0","-2.20","-6.60","-6.12","0","0","31.27"
"Oct 1, 2025 6:30:15 a.m. PDT","24554906781","Order","702-4591861-1162626","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","1","amazon.ca","Amazon","Utopia","Ontario","L0M 1T","Combined TCS+MTC","37.99","4.94","0","0","0","0","0","0","0","0","-4.94","-5.70","-7.23","0","0","25.06"
"Oct 1, 2025 7:44:27 a.m. PDT","24554906781","Order","702-5078855-9540238","HS1901","Dream Reach 6"" Professional Hair Cutting Scissors Japan 440C Steel Thinning Scissor for Men/Women Cutting for Salon/Barber/Home (Straight Scissors)","1","amazon.ca","Amazon","Carman","Manitoba","R0G 0J","Combined TCS+MTC","43.99","5.28","0","0","0","0","0","0","0","0","-5.28","-6.60","-6.12","0","0","31.27"
"Oct 1, 2025 12:21:40 p.m. PDT","24554906781","Service Fee","c1241908-8091-44d1-b452-19ee900173d9","","Coupon Redemption Fee: Save 10% on Hair Cutting Scissors save 10","1","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Oct 1, 2025 4:38:35 p.m. PDT","24554906781","Order","702-6670495-0010650","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","1","amazon.ca","Amazon","Sooke","British Columbia","V9Z 0K","Combined TCS+MTC","37.99","4.56","0","0","0","0","0","0","0","0","-4.56","-5.70","-7.23","0","0","25.06"
"Oct 1, 2025 7:57:59 p.m. PDT","24554906781","Refund","701-6420693-6091457","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","1","amazon.ca","Amazon","Westmount","Quebec","H3Z 3L","Combined TCS+MTC","-37.99","-5.69","0","0","0","0","0","0","0","0","5.69","4.56","0","0","0","-33.43"
"Oct 2, 2025 12:58:34 a.m. PDT","24554906781","Order","701-6420693-6091457","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","1","amazon.ca","Amazon","Westmount","Quebec","H3Z 3L","Combined TCS+MTC","37.99","5.69","0","0","0","0","0","0","0","0","-5.69","-5.70","-7.23","0","0","25.06"
"Oct 2, 2025 1:23:51 a.m. PDT","24554906781","Order","701-4436123-7624254","9B-5VGN-40SH","Dream Reach 2-Pack Kitchen Scissors, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Kitchen Scissors, Japanese Style Shears for Meat &","1","amazon.ca","Amazon","NORTH VANCOUVER","BC","V7R 1T","Combined TCS+MTC","37.99","4.56","0","0","0","0","0","0","0","0","-4.56","-5.70","-7.74","0","0","24.55"
"Oct 2, 2025 2:36:34 a.m. PDT","24554906781","Order","702-3084528-5243456","37-EQUL-C5MA","Dream Reach HIGH-END Series Japanese 440C Stainless 6.0"" 360° Swivel Thumb Ring Professional Barber Razor Edge Hairdressing Straight Cutting Scissors","1","amazon.ca","Amazon","sudbury","Ontario","P3G 1L","Combined TCS+MTC","59.79","7.77","0","0","0","0","0","0","0","0","-7.77","-8.97","-4.71","0","0","46.11"
