"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2025 1:05:01 a.m. PDT","24759617131","Order","701-5271602-5606638","KF04-BBJ","Dream Reach Meat Bone Cleaver Knife for Meat Cutting Handmade Heavy Duty Butcher Axes Hand Forged Full Tang Chopper for Kitchen Outdoor BBQ Chef Gifts","1","amazon.ca","Amazon","Surrey","British Columbia","V3T 5E","Combined TCS+MTC","34.39","4.13","0","0","0","0","0","0","0","0","-4.13","-5.16","-8.74","0","0","20.49"
"Nov 1, 2025 2:20:51 a.m. PDT","24865604201","Order","701-3668789-0462664","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Montreal","Québec","H1H 3T","Combined TCS+MTC","30.39","4.55","0","0","0","0","0","0","0","0","-4.55","-4.56","-7.65","0","0","18.18"
"Nov 1, 2025 3:28:51 a.m. PDT","24865604201","Order","702-2107975-0978664","KF05-BBJ","Dream Reach Meat Cleaver Knife Heavy Duty Bone Chopper High Carbon Steel Butcher Axe Bone Cutting Knife Hand Forged Butcher Knife for Kitchen Outdoor","1","amazon.ca","Amazon","Winnipeg","Manitoba","R3P 2M","Combined TCS+MTC","36.79","4.41","0","0","0","0","0","0","0","0","-4.41","-5.52","-9.58","0","0","21.69"
"Nov 1, 2025 3:39:46 a.m. PDT","24865604201","Refund","702-2107975-0978664","KF05-BBJ","Dream Reach Meat Cleaver Knife Heavy Duty Bone Chopper High Carbon Steel Butcher Axe Bone Cutting Knife Hand Forged Butcher Knife for Kitchen Outdoor","1","amazon.ca","Amazon","Winnipeg","Manitoba","R3P 2M","Combined TCS+MTC","-36.79","-4.41","0","0","0","0","0","0","0","0","4.41","4.42","0","0","0","-32.37"
"Nov 1, 2025 3:52:42 a.m. PDT","24865604201","Order","701-8136451-7120219","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","Victoria","British Columbia","V8W 1N","Combined TCS+MTC","29.99","3.60","0","0","0","0","0","0","0","0","-3.60","-4.50","-7.13","0","0","18.36"
"Nov 1, 2025 4:58:32 a.m. PDT","24865604201","Refund","701-8136451-7120219","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","Victoria","British Columbia","V8W 1N","Combined TCS+MTC","-29.99","-3.60","0","0","0","0","0","0","0","0","3.60","3.60","0","0","0","-26.39"
"Nov 1, 2025 7:00:08 a.m. PDT","24865604201","Order","702-6746131-9005023","KF05-BBJ","Dream Reach Meat Cleaver Knife Heavy Duty Bone Chopper High Carbon Steel Butcher Axe Bone Cutting Knife Hand Forged Butcher Knife for Kitchen Outdoor","1","amazon.ca","Amazon","Portage la Prairie","Manitoba","R1N 0T","Combined TCS+MTC","36.79","4.41","0","0","0","0","0","0","0","0","-4.41","-5.52","-9.58","0","0","21.69"
"Nov 1, 2025 7:23:47 a.m. PDT","24865604201","Order","701-0980992-7617814","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","MONTREAL","QC","H1N3H","Combined TCS+MTC","29.99","4.49","0","0","0","0","0","0","0","0","-4.49","-4.50","-7.13","0","0","18.36"
"Nov 1, 2025 7:25:50 a.m. PDT","24865604201","Order","701-5117256-7729041","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Lamont","Alberta","T0B 2R","Combined TCS+MTC","30.39","1.52","0","0","0","0","0","0","0","0","-1.52","-4.56","-7.65","0","0","18.18"
"Nov 1, 2025 8:47:53 a.m. PDT","24865604201","Order","701-1992378-8245003","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","MISSION","BC","V2V4J","Combined TCS+MTC","30.39","3.65","6.99","0","0","0","0","0","-6.99","0","-3.65","-4.56","-8.19","0","0","17.64"
"Nov 1, 2025 9:01:50 a.m. PDT","24865604201","Order","702-2446710-9173043","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Cochrane","Alberta","T4C 2P","Combined TCS+MTC","30.39","1.52","0","0","0","0","0","0","0","0","-1.52","-4.56","-7.65","0","0","18.18"
"Nov 1, 2025 6:30:52 p.m. PDT","24865604201","Order","701-1148841-6149034","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Kirkland","Quebec","H9H 3K","Combined TCS+MTC","30.39","4.55","0","0","0","0","0","0","0","0","-4.55","-4.56","-7.65","0","0","18.18"
"Nov 1, 2025 7:59:34 p.m. PDT","24865604201","Order","702-8652577-2061010","KF05-BBJ","Dream Reach Meat Cleaver Knife Heavy Duty Bone Chopper High Carbon Steel Butcher Axe Bone Cutting Knife Hand Forged Butcher Knife for Kitchen Outdoor","1","amazon.ca","Amazon","Victoria","British Columbia","V9B 6J","Combined TCS+MTC","36.79","4.41","0","0","0","0","0","0","0","0","-4.41","-5.52","-9.58","0","0","21.69"
"Nov 2, 2025 1:56:21 a.m. PDT","24865604201","Order","702-5810852-1082660","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Scarborough","Ontario","M1R 1V","Combined TCS+MTC","30.39","3.95","6.99","0","0","0","0","0","-6.99","0","-3.95","-4.56","-7.65","0","0","18.18"
"Nov 2, 2025 1:48:25 a.m. PST","24865604201","Order","701-3270505-1304201","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Saskatoon","Saskatchewan","S7J 4H","Combined TCS+MTC","30.39","3.34","0","0","0","0","0","0","0","0","-3.34","-4.56","-7.65","0","0","18.18"
