date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,gift wrap credits tax,Regulatory fee,Tax on regulatory fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
31.01.2026 23:05:17 UTC,26330616062,Bestellung,302-6166920-7003558,CZ002-XXL,PURPLEBIRD Grillspachtel Set aus Edelstahl. Plancha Spachtels Set mit Gro? Grillwender f¨¹r Smash Burger. Grill Geschenke f¨¹r M?nner,1,amazon.de,Amazon,St . Valentin,N?,4300,MarketplaceFacilitator,22.68,4.54,0,0,0,0,0,0,-4.54,-4.05,-3.44,0,0,15.19,0,0
31.01.2026 23:16:47 UTC,26330616062,Bestellung,302-0228928-8985175,KF014-OutdoorA,PURPLEBIRD Jagdmesser Feststehende Klinge Scharfes. Messer Outdoor Survival mit Lederscheide. D2 Stahl G¨¹rtelmesser & Camping Messer Outdoor Geschenk,1,amazon.de,Amazon,Gusborn,Niedersachsen,29476,MarketplaceFacilitator,24.28,4.61,0,0,0,0,0,0,-4.61,-3.76,-3.04,0,0,17.48,0,0
31.01.2026 23:26:29 UTC,26330616062,Bestellung,302-9794156-7976313,HS-RoseGold-Set,PURPLEBIRD Friseurscheren Profi. Haarschere Friseurschere Set aus Edelstahl Haarschneideschere und Effilierschere f¨¹r Barbier/Friseur/Anf?nger 10 St,1,amazon.de,Amazon,Wien,,1220,MarketplaceFacilitator,21.42,4.28,0,0,0,0,0,0,-4.28,-3.82,-3.04,0,0,14.56,0,0
31.01.2026 23:35:03 UTC,26330616062,Bestellung,302-6179841-9729964,HWD02-ZNO,PURPLEBIRD Outdoor Messer. Messer 12 cm Klinge Feststehende. 440C Edelstahl Bushcraft Camping Messer. Full Tang Scharfe Survival Messer mit Holster f?,1,amazon.de,Amazon,Bremen,,28205,MarketplaceFacilitator,18.85,3.58,0,0,0,0,0,0,-3.58,-2.92,-3.04,0,0,12.89,0,0
31.01.2026 23:41:20 UTC,26330616062,Bestellung,303-1159942-5769963,PB-OK-02,PURPLEBIRD Outdoor Messer. Machete Scharf Echt mit 6MM Klingenr¨¹cken. D2 Stahl Full Tang Bowiemesser mit Scheide. f¨¹r Wandern & Bushcraft. Geschenke,1,amazon.de,Amazon,Kalletal,,32689,MarketplaceFacilitator,32.85,6.24,0,0,0,0,0,0,-6.24,-5.08,-5.27,0,0,22.5,0,0
31.01.2026 23:43:35 UTC,26330616062,Bestellung,028-3484453-5253152,HSK-RoseGold,Haarschere Set 6 Inch Friseurschere Effilierschere Kit Professionelle Ausd¨¹nnen Texturierende Schere Scharfe Friseurschere Set f¨¹r M?nner Frauen un,1,amazon.de,Amazon,Kevelaer,,47623,MarketplaceFacilitator,24.87,4.72,0,0,0,0,0,0,-4.72,-4.44,-3.04,0,0,17.39,0,0
01.02.2026 06:33:35 UTC,26330616062,Geb¨¹hren von Amazon,8ad25e73-c856-46a2-8caf-55eb46caf418,,Teilnahmegeb¨¹hr f¨¹r das Angebot,,Amazon.de,,,,,,0,0,0,0,0,0,0,0,0,-4,0,0,0,-4,0,0
01.02.2026 06:57:21 UTC,26330616062,Geb¨¹hren von Amazon,8ad25e73-c856-46a2-8caf-55eb46caf418,,Leistungsbasierte Angebotsgeb¨¹hr,,Amazon.de,,,,,,0,0,0,0,0,0,0,0,0,-0.32,0,0,0,-0.32,0,0
01.02.2026 23:27:44 UTC,26414969182,Erstattung,305-8096069-8607520,PS-7.0''DownCurvedThinning,PURPLEBIRD Fellschere 7 Inch Gebogene Hundeschere. Katzenschere. Effilierschere Hundescheren zur Fellpflege f¨¹r alle Hunde Katze. Schneiden und Groom,1,amazon.de,Amazon,Winzendorf-Muthmannsdorf,,2723,MarketplaceFacilitator,-40.71,-8.14,0,0,0,0,0,0,8.14,5.82,0,0,0,-34.89,0,0
02.02.2026 04:17:52 UTC,26414969182,Servicegeb¨¹hr,,,Werbekosten,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-198.84,0,-198.84,0,0
02.02.2026 06:03:29 UTC,26414969182,¨¹bertrag,,,F¨¹r Konten mit folgenden Endziffern: 623,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-2.038.02,-2.038.02,0,0
