"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Dec 1, 2025 12:03:38 a.m. PST","25070279451","Order","702-5891984-9553000","HS1901","Dream Reach 6"" Professional Hair Cutting Scissors Japan 440C Steel Thinning Scissor for Men/Women Cutting for Salon/Barber/Home (Straight Scissors)","1","amazon.ca","Amazon","Elmwood","Ontario","N0G 1S","Combined TCS+MTC","43.99","5.72","3.92","0","0","0","0","0","-3.92","0","-5.72","-6.60","-6.49","0","0","30.90"
"Dec 1, 2025 12:04:13 a.m. PST","25070279451","Order","701-3879009-9514655","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Langley","British Columbia","V1M 1T","Combined TCS+MTC","25.73","3.09","0","0","0","0","0","0","0","0","-3.09","-3.86","-8.19","0","0","13.68"
"Dec 1, 2025 12:44:16 a.m. PST","25070279451","Order","701-0051222-8234609","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Calgary","Alberta","T3M 0Z","Combined TCS+MTC","25.73","1.29","0","0","0","0","0","0","0","0","-1.29","-3.86","-7.65","0","0","14.22"
"Dec 1, 2025 1:01:25 a.m. PST","25070279451","Order","702-7030258-4093050","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","Alberta Beach","Alberta","T0E 0A","Combined TCS+MTC","28.49","1.42","0","0","0","0","0","0","0","0","-1.42","-4.27","-7.13","0","0","17.09"
"Dec 1, 2025 1:14:03 a.m. PST","25070279451","Order","701-1728038-2703425","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","Calmar","Alberta","T0C 0V","Combined TCS+MTC","37.40","1.87","0","0","0","0","0","0","0","0","-1.87","-5.61","-7.13","0","0","24.66"
"Dec 1, 2025 1:22:18 a.m. PST","25070279451","Order","702-3131165-7845034","CWJ02-Black7.5Set-BBJ","Dream Reach Dog Grooming Scissors - Professional 7.5 Inch Pet Scissors Sharp and Durable Shears Set Thinning, Chunker, Straight, Curved Shears and Com","1","amazon.ca","Amazon","Dollard-des-ormeaux","Quebec","H9A 2J","Combined TCS+MTC","49.71","7.44","0","0","0","0","0","0","0","0","-7.44","-7.46","-7.65","0","0","34.60"
"Dec 1, 2025 1:28:14 a.m. PST","25070279451","Order","701-4927839-6113050","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","LONGUEUIL","QC","J4L2H","Combined TCS+MTC","25.73","3.85","2.74","0","0","0","0","0","-2.74","0","-3.85","-3.86","-7.65","0","0","14.22"
"Dec 1, 2025 1:44:28 a.m. PST","25070279451","Order","701-4458536-4435463","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Barrie","Ontario","L4N 0Y","Combined TCS+MTC","25.73","3.34","0","0","0","0","0","0","0","0","-3.34","-3.86","-7.65","0","0","14.22"
"Dec 1, 2025 2:02:33 a.m. PST","25070279451","Order","702-2746447-1107428","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Beaconsfield","Quebec","H9W 3M","Combined TCS+MTC","25.73","3.85","0","0","0","0","0","0","0","0","-3.85","-3.86","-7.65","0","0","14.22"
"Dec 1, 2025 2:33:49 a.m. PST","25070279451","Order","701-9265087-9527437","KF04-BBJ","Dream Reach Meat Bone Cleaver Knife for Meat Cutting Handmade Heavy Duty Butcher Axes Hand Forged Full Tang Chopper for Kitchen Outdoor BBQ Chef Gifts","1","amazon.ca","Amazon","Lethbridge","Alberta","T1J 3M","Combined TCS+MTC","31.49","1.57","0","0","0","0","0","0","0","0","-1.57","-4.72","-8.74","0","0","18.03"
"Dec 1, 2025 2:53:12 a.m. PST","25070279451","Order","702-8978389-5879434","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Beaumont","Alberta","T4X 1Y","Combined TCS+MTC","25.73","1.29","0","0","0","0","0","0","0","0","-1.29","-3.86","-7.65","0","0","14.22"
