"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Dec 1, 2025 12:14:26 AM PST","25081665871","Order","112-8404121-4966652","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","SAN ANTONIO","TX","78242","MarketplaceFacilitator","14.99","1.24","0","0","0","0","0","0","0","0","-1.24","-2.25","-6.44","0","0","6.30"
"Dec 1, 2025 12:43:02 AM PST","25081665871","Order","112-8621639-2765866","GB-CA-02-WOLF","Grumpy Bear Camping Hatchet with Wolf Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","ALBUQUERQUE","NM","87111","MarketplaceFacilitator","19.99","1.52","0.99","0.08","0","0","0","0","0","0","-1.60","-3.00","-6.83","0","0","11.15"
"Dec 1, 2025 12:46:26 AM PST","25081665871","Debt","","","amzn1.cam.v1.sgid.24977935231","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","274.13","274.13"
"Dec 1, 2025 2:14:29 AM PST","25081665871","Order","111-5883077-9434623","GB-CA-02-TIGER","Grumpy Bear Camping Hatchet with Tiger Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","Jonesboro","AR","72401","MarketplaceFacilitator","14.99","1.27","0","0","0","0","0","0","0","0","-1.27","-2.25","-5.84","0","0","6.90"
"Dec 1, 2025 2:31:41 AM PST","25081665871","Order","S01-5844863-1878029","AXE-SH-S","Grumpy Bear 11"" Survival Axe Camping Hatchet – Forged High Carbon Steel Blade with Walnut Wood Handle – Shock-Absorbing, Anti-Slip Grip – Ideal for Bushcraft, Wood Splitting & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","CHEYENNE","OK","73628","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Dec 1, 2025 2:36:01 AM PST","25081665871","Order","113-8908430-5399425","C-axe-01","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","2","amazon.com","Standard Orders","Amazon","ELLISVILLE","MS","39437","MarketplaceFacilitator","21.98","1.54","0","0","0","0","0","0","0","0","-1.54","-3.30","-12.20","0","0","6.48"
"Dec 1, 2025 3:02:05 AM PST","25081665871","Order","111-3925284-8581805","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","FULTON","NY","13069","MarketplaceFacilitator","14.99","1.20","0","0","0","0","0","0","0","0","-1.20","-2.25","-5.68","0","0","7.06"
"Dec 1, 2025 3:22:56 AM PST","25081665871","Order","114-3176583-7854640","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","BAKERSFIELD","CA","93309","MarketplaceFacilitator","39.94","2.97","0","0","0","0","0","0","-3.99","0","-2.97","-5.39","-6.44","0","0","24.12"
"Dec 1, 2025 3:36:45 AM PST","25081665871","Order","114-8674952-1507443","C-axe-01","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","LAKE ELSINORE","CA","92530","MarketplaceFacilitator","10.99","0.96","0","0","0","0","0","0","0","0","-0.96","-1.65","-6.10","0","0","3.24"
"Dec 1, 2025 3:39:55 AM PST","25081665871","Order","114-4331924-3145810","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","TINTON FALLS","NJ","07753","MarketplaceFacilitator","14.99","0.99","0","0","0","0","0","0","0","0","-0.99","-2.25","-6.44","0","0","6.30"
"Dec 1, 2025 4:05:23 AM PST","25081665871","Order","S01-1414191-9703602","AXE-SH-S","Grumpy Bear 11"" Survival Axe Camping Hatchet – Forged High Carbon Steel Blade with Walnut Wood Handle – Shock-Absorbing, Anti-Slip Grip – Ideal for Bushcraft, Wood Splitting & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","MAYODAN","NC","27027","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Dec 1, 2025 4:20:19 AM PST","25081665871","Order","114-8759310-7641007","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","AFTON","TN","37616","MarketplaceFacilitator","14.99","1.46","0","0","0","0","0","0","0","0","-1.46","-2.25","-6.44","0","0","6.30"
"Dec 1, 2025 4:30:01 AM PST","25081665871","Order","111-6960009-5950653","Axe-F-R-S","Grumpy Bear 11"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","RALEIGH","NC","27609","MarketplaceFacilitator","34.41","2.25","0","0","0","0","0","0","-3.44","0","-2.25","-4.65","-6.24","0","0","20.08"
"Dec 1, 2025 5:02:00 AM PST","25081665871","Order","112-8242726-3307402","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","SAN DIEGO","CA","92128","MarketplaceFacilitator","14.99","1.16","0","0","0","0","0","0","0","0","-1.16","-2.25","-6.44","0","0","6.30"
"Dec 1, 2025 5:55:51 AM PST","25081665871","Order","114-1651326-8469030","C-axe-01","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","SACRAMENTO","CA","95820","MarketplaceFacilitator","10.99","0.96","0.50","0","0","0","0","0","-0.50","0","-0.96","-1.65","-6.10","0","0","3.24"
"Dec 1, 2025 6:19:56 AM PST","25081665871","Order","114-8818573-4962648","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","HOWELL","MI","48855","MarketplaceFacilitator","14.99","0.90","0","0","0","0","0","0","0","0","-0.90","-2.25","-6.44","0","0","6.30"
