"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2025 2:02:12 AM PDT","24769914181","Order","113-0891669-3225852","Axe-F-R-L","Grumpy Bear 15"" Survival Axe - Forged High Carbon Steel Hatchet with Spike Tail for Breaking Doors, Glass & Ice, Leather Handle & Lanyard, Ideal for B","1","amazon.com","Standard Orders","Amazon","MIDLAND","TX","79707","MarketplaceFacilitator","37.04","3.06","0","0","0","0","0","0","0","0","-3.06","-5.56","-6.44","0","0","25.04"
"Nov 1, 2025 3:15:25 AM PDT","24769914181","Amazon Fees","50787782-868c-43c3-808f-28f6ed8b2141","","Coupon Participation Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","-5.00","0","0","0","-5.00"
"Nov 1, 2025 4:19:27 AM PDT","24769914181","Order","112-8773279-0558636","Axe-F-R-S","Grumpy Bear Camping Axe 11 Inches with High Carbon Steel, Forged Blade, Leather-Wrapped Handle, Safety Lanyard - for Chopping, Wood Splitting, Hiking,","1","amazon.com","Standard Orders","Amazon","SUTTON","MA","01590","MarketplaceFacilitator","44.99","2.81","0","0","0","0","0","0","0","0","-5.62","-13.50","-6.24","0","0","22.44"
"Nov 1, 2025 4:19:27 AM PDT","24769914181","Order","112-8773279-0558636","Axe-F-R-S","Grumpy Bear Camping Axe 11 Inches with High Carbon Steel, Forged Blade, Leather-Wrapped Handle, Safety Lanyard - for Chopping, Wood Splitting, Hiking,","1","amazon.com","Standard Orders","Amazon","SUTTON","MA","01590","","44.99","2.81","0","0","0","0","0","0","0","0","0","0","-6.24","0","0","41.56"
"Nov 1, 2025 4:37:23 AM PDT","24769914181","Order","111-2168557-5782651","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","NEWBERG","OR","97132","","29.99","0","0","0","0","0","0","0","0","0","0","-4.50","0","0","0","25.49"
"Nov 1, 2025 4:49:00 AM PDT","24769914181","Refund","112-8773279-0558636","Axe-F-R-S","Grumpy Bear Camping Axe 11 Inches with High Carbon Steel, Forged Blade, Leather-Wrapped Handle, Safety Lanyard - for Chopping, Wood Splitting, Hiking,","1","amazon.com","Standard Orders","Amazon","SUTTON","MA","01590","MarketplaceFacilitator","-44.99","-2.81","0","0","0","0","0","0","0","0","5.62","10.80","0","0","0","-31.38"
"Nov 1, 2025 4:49:00 AM PDT","24769914181","Refund","112-8773279-0558636","Axe-F-R-S","Grumpy Bear Camping Axe 11 Inches with High Carbon Steel, Forged Blade, Leather-Wrapped Handle, Safety Lanyard - for Chopping, Wood Splitting, Hiking,","1","amazon.com","Standard Orders","Amazon","SUTTON","MA","01590","","-44.99","-2.81","0","0","0","0","0","0","0","0","0","0","0","0","0","-47.80"
"Nov 1, 2025 6:45:48 AM PDT","24769914181","Refund","113-0891669-3225852","Axe-F-R-L","Grumpy Bear 15"" Survival Axe - Forged High Carbon Steel Hatchet with Spike Tail for Breaking Doors, Glass & Ice, Leather Handle & Lanyard, Ideal for B","1","amazon.com","Standard Orders","Amazon","MIDLAND","TX","79707","MarketplaceFacilitator","-37.04","-3.06","0","0","0","0","0","0","0","0","3.06","4.45","0","0","0","-32.59"
"Nov 1, 2025 8:03:40 AM PDT","24769914181","Order","113-2633655-9204216","Axe-F-R-L","Grumpy Bear 15"" Survival Axe - Forged High Carbon Steel Hatchet with Spike Tail for Breaking Doors, Glass & Ice, Leather Handle & Lanyard, Ideal for B","1","amazon.com","Standard Orders","Amazon","CLARKSVILLE","IN","47129","MarketplaceFacilitator","36.65","2.31","0","0","0","0","0","0","-3.67","0","-2.31","-4.95","-6.44","0","0","21.59"
"Nov 1, 2025 9:02:48 AM PDT","24769914181","Order","114-4864368-8941046","AXE-GBWS-L","Grumpy Bear Camping Axe 15 Inches with High Carbon Steel, Forged Blade, Natural Wood Handle, Safety Lanyard - for Chopping, Wood Splitting, Hiking, an","1","amazon.com","Standard Orders","Amazon","Sarasota","FL","34232","MarketplaceFacilitator","39.99","0","0","0","0","0","0","0","-39.99","0","0","-0.30","-6.44","0","0","-6.74"
"Nov 1, 2025 9:57:44 AM PDT","24769914181","Order","S01-4266928-8658066","Axe-F-R-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Hatchet with Spike Tail for Breaking Doors, Glass & Ice, Leather Handle & Lanyard, Ideal for Bushcraft & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","LAS VEGAS","NV","89149","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Nov 1, 2025 12:19:49 PM PDT","24769914181","Order","S01-3836728-2264406","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Hatchet with Spike Tail for Breaking Doors, Glass & Ice, Leather Handle & Lanyard, Ideal for Bushcraft & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","SHELLEY","ID","83274","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Nov 2, 2025 5:53:54 AM PST","24769914181","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-476.75","0","-476.75"
"Nov 2, 2025 6:33:32 AM PST","24769914181","Order","S01-2139962-6162066","Axe-F-R-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Hatchet with Spike Tail for Breaking Doors, Glass & Ice, Leather Handle & Lanyard, Ideal for Bushcraft & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","ROSCOMMON","MI","48653","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Nov 2, 2025 7:07:19 AM PST","24769914181","Order","S01-9111956-1626868","Axe-F-R-L","Grumpy Bear 15"" Survival Axe Camping Hatchet – Forged High Carbon Steel Hatchet with Spike Tail for Breaking Doors, Glass & Ice, Leather Handle & Lanyard, Ideal for Bushcraft & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","WEIRTON","WV","26062","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Nov 2, 2025 1:43:38 PM PST","24769914181","Adjustment","","GB-CA-02-WOLF","FBA Inventory Reimbursement - Lost:Warehouse","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.74","8.74"
